Title,Current Price,Old Price,Rating,Reviews,URL,Last Seen,Price Dropped?
Samsung Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,62990,62990,4.4,"2,718 Ratings & 176 Reviews",https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg3in-np750xgj-lg3in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDYPUZAAXD&lid=LSTCOMGZUYDYPUZAAXDBMAOEF&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=5e70e69f-6721-481a-ae52-94947746d749.COMGZUYDYPUZAAXD.SEARCH&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,14990,14990,3.8,"2,075 Ratings & 187 Reviews",https://www.flipkart.com/lenovo-chromebook-mediatek-kompanio-520-4-gb-128-gb-emmc-storage-chrome-os-14m868/p/itm4dc67999fe3de?pid=COMGSYYSHRSUEGMG&lid=LSTCOMGSYYSHRSUEGMGL82DZU&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en_6sc7KueCe5xLpb6srom1IcD0H-gyrIBlXoFcItStrnvkXQNXfY05L1JRM5gVxQ279uKw_qYuNen4OIogpwOeLRhTy0lUJ14SzoMSv_CzLF0%3D&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Metallic Design, Copilot+ PC Qualcomm Snapdra...",74990,74990,N/A,0,https://www.flipkart.com/asus-vivobook-s14-2025-office-2024-m365-basic-metallic-design-copilot-pc-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-s3407qa-kp020ws-thin-light-laptop/p/itm4be832c0c07b8?pid=COMH9SJ9VPQXUK6T&lid=LSTCOMH9SJ9VPQXUK6TMHCHDN&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_6sc7KueCe5xLpb6srom1IcD0H-gyrIBlXoFcItStrntAMjfnvVs6Gw3D3XKsV9kAFp9VCQ_KdSDsWyfkN18wX33Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,17990,17990,3.8,"1,693 Ratings & 196 Reviews",https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4RHDRWI&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=5e70e69f-6721-481a-ae52-94947746d749.COMH7NCZY2QDJ5Z4.SEARCH&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,9299,9299,3.9,137 Ratings & 11 Reviews,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-520-4-gb-32-gb-emmc-storage-chrome-os-82w00004ha/p/itm1ae5f82096ad9?pid=COMHA9FK8YXVUUWA&lid=LSTCOMHA9FK8YXVUUWAR749MF&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=5e70e69f-6721-481a-ae52-94947746d749.COMHA9FK8YXVUUWA.SEARCH&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
ASUS Vivobook 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ540WS Thi...,45990,45990,4.4,126 Ratings & 10 Reviews,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-x1504va-nj540ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4CHFK2PUPVBS&lid=LSTCOMH4CHFK2PUPVBSVEHVGJ&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=5e70e69f-6721-481a-ae52-94947746d749.COMH4CHFK2PUPVBS.SEARCH&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ132WS Th...,32990,32990,4.2,"1,538 Ratings & 95 Reviews",https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj132ws-thin-light-laptop/p/itm748e0c5d03f90?pid=COMH9499JNGDGTZ5&lid=LSTCOMH9499JNGDGTZ5WJGUDN&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=5e70e69f-6721-481a-ae52-94947746d749.COMH9499JNGDGTZ5.SEARCH&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X - (1...",59990,59990,4.1,51 Ratings & 5 Reviews,https://www.flipkart.com/asus-vivobook-16-2025-copilot-pc-office-2024-m365-basic-ai-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-x1607qa-mb049ws-thin-light-laptop/p/itmaff92a0acb4ff?pid=COMH9EVGZHTHHPFH&lid=LSTCOMH9EVGZHTHHPFHLX91AF&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en_6sc7KueCe5xLpb6srom1IcD0H-gyrIBlXoFcItStrntTYkVyFxgtKPQs86_ELVtfzGpqjQvgdv-36aca3BuYk-vN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,57990,57990,4.4,537 Ratings & 49 Reviews,https://www.flipkart.com/acer-nitro-v-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-anv15-41-gaming-laptop/p/itm6491e522f1157?pid=COMGZN7ZYP8MDPHR&lid=LSTCOMGZN7ZYP8MDPHRDVIR0H&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en_6sc7KueCe5xLpb6srom1IcD0H-gyrIBlXoFcItStrnsTIopeSYjO51CCGja8vkI2K-Ow8Oxjpt2XCymPOk93TWaRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
Lenovo Yoga Slim 7 AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) 14IMH9 Thin and Li...,75990,75990,4.3,44 Ratings & 2 Reviews,https://www.flipkart.com/lenovo-yoga-slim-7-ai-pc-intel-core-ultra-155h-16-gb-1-tb-ssd-windows-11-home-14imh9-thin-light-laptop/p/itm77304edff3814?pid=COMH3G969EWNAHYG&lid=LSTCOMH3G969EWNAHYGM4NHIP&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=5e70e69f-6721-481a-ae52-94947746d749.COMH3G969EWNAHYG.SEARCH&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,39990,39990,4.2,"2,293 Ratings & 113 Reviews",https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itm726ac134d0530?pid=COMHFYZ3GZVH37GY&lid=LSTCOMHFYZ3GZVH37GYBMASJU&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=5e70e69f-6721-481a-ae52-94947746d749.COMHFYZ3GZVH37GY.SEARCH&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
DELL 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Laptop,32990,32990,4.2,832 Ratings & 53 Reviews,https://www.flipkart.com/dell-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-3520-thin-light-laptop/p/itm5d692e615c97e?pid=COMH2F22XWP7DQFM&lid=LSTCOMH2F22XWP7DQFMJYD9JY&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en_6sc7KueCe5xLpb6srom1IcD0H-gyrIBlXoFcItStrnsqpVxpZMT-wfjUfG9QjXG_WgVcMrML02k-dZPd9aNhdq8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
Lenovo Chromebook Intel Pentium Quad Core N100 - (4 GB/128 GB EMMC Storage/Chrome OS) 14IAN8 Chromeboo...,18990,18990,3.9,16 Ratings & 5 Reviews,https://www.flipkart.com/lenovo-chromebook-intel-pentium-quad-core-n100-4-gb-128-gb-emmc-storage-chrome-os-14ian8/p/itm7c0c58320220d?pid=COMGT2Y3DHC6QN4R&lid=LSTCOMGT2Y3DHC6QN4RLXRUHG&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=en_6sc7KueCe5xLpb6srom1IcD0H-gyrIBlXoFcItStrns0X1FeVLYzxiTvPI2SoJ0lqkcGtK7zXWsvp_dUdVmpCPKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
DELL Intel Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Pro) 5470 Thin and Light Laptop,21380,21380,3.7,44 Ratings & 5 Reviews,https://www.flipkart.com/dell-intel-celeron-quad-core-8-gb-256-gb-ssd-windows-11-pro-5470-thin-light-laptop/p/itmaa0f3ee04f93d?pid=COMHAKFY9YUYGVDF&lid=LSTCOMHAKFY9YUYGVDFCCFSZS&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=5e70e69f-6721-481a-ae52-94947746d749.COMHAKFY9YUYGVDF.SEARCH&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ2325WS Th...,34990,34990,4.2,313 Ratings & 29 Reviews,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-x1504va-nj2325ws-thin-light-laptop/p/itm35fb3f9516635?pid=COMH9499CDEZTNHX&lid=LSTCOMH9499CDEZTNHXLD7KLF&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=5e70e69f-6721-481a-ae52-94947746d749.COMH9499CDEZTNHX.SEARCH&ppt=None&ppn=None&ssid=mxcoiiombk0000001750840982805&qH=146bdebb324a64d3,2025-06-25,No
