keyword,asin,url,ad,title,price,real_price,rating,prime_available
shirts,B0CD5NBSW2,https://www.amazon.in/Raymond-Mens-Slim-Shirt-RMSX12120-G5_Medium/dp/B0CD5NBSW2/ref=sr_1_49,False,Men's Pure Cotton Solid Pattern Slim Fit Semi Cutaway Collar Full Sleeve Formal Shirt,799,"₹1,999",4.0 out of 5 stars,True
shirts,B0B5YCHTYN,https://www.amazon.in/Van-Heusen-Mens-Shirt-VHSFRSLB304326_Medium/dp/B0B5YCHTYN/ref=sr_1_50,False,Formal Checkered Shirt for Men| Premium Cotton| Full Sleeves| Slim Fit |Breathable Fabric,999,"₹2,099",3.9 out of 5 stars,False
shirts,B0BZPG44RC,https://www.amazon.in/Indian-Garage-Co-Regular-0721-SH95-10_Light/dp/B0BZPG44RC/ref=sr_1_51,False,Men's Cotton Slim Fit Checkered Full Sleeves Spread Collar Casual Shirt,542,"₹1,749",3.8 out of 5 stars,True
shirts,B0CRHQBY9V,https://www.amazon.in/Peter-England-Mens-Shirt-PESFWSLPW47328_Green/dp/B0CRHQBY9V/ref=sr_1_52,False,Men's Striped Slim Fit Shirt,899,"₹1,599",3.9 out of 5 stars,False
shirts,B09H2WC4RS,https://www.amazon.in/U-S-POLO-ASSN-Regular-USSHTC0010_White/dp/B09H2WC4RS/ref=sr_1_53,False,U.S. Polo Assn Men's Cotton Tailored Fit. Oxford Stretch Spread Collar Casual Shirt,"2,499",NA,3.5 out of 5 stars,True
shirts,B0B5YCGZD2,https://www.amazon.in/Van-Heusen-Mens-Shirt-VHSFRSLBI89288_Teal/dp/B0B5YCGZD2/ref=sr_1_54,False,Men's 100% Cotton Slim Fit Checkered Solid Shirt,"1,000","₹1,999",4.1 out of 5 stars,True
shirts,B0DZCQTD72,https://www.amazon.in/Lymio-Regular-Shirt-Stylish-Resort-Slub/dp/B0DZCQTD72/ref=sr_1_55,False,Regular Fit Shirt for Men|| Men Stylish Regular Fit Shirt (Resort-Slub),449,"₹3,999",4.4 out of 5 stars,False
shirts,B0DWSRSXPF,https://www.amazon.in/Lymio-Cotton-Regular-Shirt-Geomatric-Green-L_Geeen/dp/B0DWSRSXPF/ref=sr_1_56,False,Shirt for Men|| Regular Fit Shirt for Men|| Men Stylish Shirt (Turkeys-Shirt),449,"₹2,999",4.3 out of 5 stars,False
shirts,B0CW1P9YX1,https://www.amazon.in/Pinkmint-Cotton-Formmal-Office-Regular/dp/B0CW1P9YX1/ref=sr_1_57,False,Men's Solid Classic Fit Shirt,599,"₹1,999",3.5 out of 5 stars,True
shirts,B0BWJTW12M,https://www.amazon.in/Leriya-Fashion-Tropical-Printed-Collared/dp/B0BWJTW12M/ref=sr_1_58,False,Men's Casual Cotton Shirt – Button Down Summer Shirt's for Men | Lightweight Textured Fabric | Perfect for Daily & Weekend Wear (Available in Plus Size and Combo Pack of 2),379,"₹1,999",3.7 out of 5 stars,False
shirts,B0C27TT51H,https://www.amazon.in/Peter-England-Mens-Shirt-PCSFSSLPD98867_Light/dp/B0C27TT51H/ref=sr_1_59,False,Men's Everyday Ditsy Print Slim Fit Full Sleeve Casual Shirt | 100% Cotton,899,"₹1,599",4.1 out of 5 stars,False
shirts,B0D4MBQ9XS,https://www.amazon.in/DEELMO-Casual-Button-Fashion-Textured/dp/B0D4MBQ9XS/ref=sr_1_60,False,Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,380,"₹1,699",4.3 out of 5 stars,False
shirts,B0B4PGNTY5,https://www.amazon.in/Allen-Solly-Straight-Shirt-ASSFQSPF705256_Olive/dp/B0B4PGNTY5/ref=sr_1_61,False,Men's 100% Cotton Straight Fit Shirt,"1,079","₹1,799",4.8 out of 5 stars,True
